nome;preco;descricao
Beats Bebida Mista Tropical;R$ 5,29;1 x 269 mL
Gin Schweppes Intense Pink Lata;R$ 6,39;1 X 269 mL
Schweppes Vodka & Citrus Premium Drink 310 mL;R$ 5,17;1 X 310 mL
Smirnoff Bebida Mista Ice Original Limão Clássico;R$ 8,29;1 X 275 mL
Smirnoff Bebida Ice Red;R$ 6,79;1 X 269.0 mL
Smirnoff Vodka;R$ 41,99;1 X 998 mL
Absolut Vodka Destilada Original;R$ 99,99;1 X 1 L
Smirnoff Vodka Destilada;R$ 26,03;1 X 600 mL
Orloff Vodka;R$ 40,49;1 X 1 L
Absolut Vodka Destilada;R$ 89,99;1 X 750.0 mL
Ciroc Vodka 5X Destilada Importada;R$ 169,99;1 X 750 mL
Skyy Vodka Destilada;R$ 41,99;1 X 980.0 mL
Vodka Wyborowa Polonesa - 750 ml;R$ 59,99;1 X 750 mL
Grey Goose Vodka;R$ 179,99;1 X 750 mL
Smirnoff Vodka Infusions Watermelon & Mint;R$ 59,99;1 X 998 mL
Absolut Vodka Vanilia;R$ 89,99;1 X 750 mL
Smirnoff Vodka Infusions Passionfruit & Jasmine;R$ 59,99;1 X 998 mL
Absolut Citron Vodka;R$ 89,99;1 X 750 mL
Ketel One Vodka;R$ 109,99;1 X 1 L
Ketel One Vodka Botanical Peach & Orange Blossom;R$ 109,99;1 X 750 mL
Suntory Haku Vodka Japonesa;R$ 215,99;1 X 700 mL
Ketel One Vodka Hol Grapefru Rose;R$ 109,99;1 X 750 mL
Vodka Absolut Raspberri - 750 ml;R$ 89,99;1 X 750 mL
Jack Daniel's Whisky;R$ 169,99;1 X 1 L
Johnnie Walker Whisky Red Label;R$ 93,99;1 X 1 L
Grand Old Parr Whisky 12 Anos Escocês;R$ 149,99;1 X 1.0 L
Buchanan's Whisky 12 anos Deluxe;R$ 189,99;1 X 1.0 L
Johnnie Walker Whisky Escocês Black Label 12 Anos;R$ 169,99;1 X 1 L
Jack Daniel's Whisky Tennessee Honey;R$ 169,99;1 X 1 L
Black & White Whisky Escôces Blended;R$ 69,99;1 X 1 L
Johnnie Walker Whisky Escocês Gold Label Reserve;R$ 255,99;1 X 750 mL
Fireball Whisky de Canela;R$ 109,99;1 X 750.0 mL
Johnnie Walker Whisky Red Label Escocês Blended;R$ 75,19;1 X 750 mL
Chivas Regal Whisky Escocês 12 Anos;R$ 159,99;1 X 1 L
Jack Daniel's Whisky Fire;R$ 169,99;1 X 1 L
White Horse Whisky Escocês;R$ 115,99;1 X 1.0 L
Ballantine's Whisky Finest Blended Escocês;R$ 80,99;1 X 750 mL
Buchanan's Whisky Escocês Blended Deluxe;R$ 151,99;1 X 750.0 mL
Johnnie Walker Whisky Black Label 12 Anos;R$ 135,99;1 X 750 mL
Johnnie Walker Whisky Double Black Escocês;R$ 185,99;1 X 1 L
