nome;preco;descricao
Ana Maria Mini Bolo Napolitano;R$ 1,99;1 X 42 g
Ana Maria Bolinho de Baunilha com Recheio de Chocolate;R$ 1,99;1 X 35 g
Bolinho de Chocolate com Baunilha 40g;R$ 1,99;1 X 40 g
Belive Brownie Chocolate Zero sem Glúten;R$ 8,99;1 X 40 g
Seven Boys Bolo de Chocolate;R$ 12,90;1 X 250 g
Fleischmann Mistura para Bolo de Cenoura Up;R$ 10,90;1 X 390 g
Ana Maria Bolo Banana Com Recheio de Chocolate;R$ 1,99;1 x 35 g
Bauducco Bolinho De Laranja;R$ 1,69;1 X 30 g
Seven Boys Bolo de Coco;R$ 8,99;1 X 250.0 g
Bolo De Fubá Kg;R$ 17,90;1 Und
Kodilar Fubá Mimoso;R$ 4,99;1 X 500 g
Bauducco Bolinho Kids Brigadadeiro;R$ 1,99;1 X 40 g
Seven Boys Bolo Formigueiro;R$ 8,99;1 X 250 g
Belive Muffin de Coco com Chocolate Zero Lactose;R$ 5,99;1 X 40 g
Pita Bread Torrada Crocante Integral;R$ 0,02;1 X 125 g
Pullman Bolo Frapê Chocolate e Coco;R$ 9,99;1 X 250.0 g
Bauducco Torrada Multigrãos;R$ 10,90;1 X 284 g
Torrada Tradicional Visconti 120g;R$ 4,99;1 X 120 g
Suavipan Bolinho Zero Açúcar Sabor Cenoura;R$ 6,49;1 X 40 g
Ket Elefante;R$ 9,49;350 g
Grand Old Parr Whisky 12 Anos Escocês;R$ 199,90;1 X 1.0 L
Johnnie Walker Whisky Escocês Black Label 12 Anos;R$ 239,90;1 X 1 L
Jack Daniel's Whisky Tennessee Honey;R$ 199,90;1 X 1 L
Johnnie Walker Whisky Escocês Red Label;R$ 129,90;1 X 1.0 L
Black Stone Aperitivo;R$ 32,90;1 X 1 L
Jack Daniel's Whisky;R$ 199,90;1 X 1 L
White Horse Whisky 8 Anos;R$ 109,90;1 X 1 L
Mikes Drink Pronto Ice Limão 269Ml Lata;R$ 7,49;1 X 269.0 mL
Cabaré Ice Bebida Mista Limão;R$ 6,99;1 X 275 mL
Beats GT Drink Pronto Sabor Gin&Tônica Long Neck;R$ 8,99;1 X 269 mL
Keep Cooler Ice Morango;R$ 9,99;1 X 275 mL
Birinight Bebida Ice Limão;R$ 14,90;1 X 1 L
Tanqueray Gin Ten;R$ 279,90;1 X 750 mL
Tanqueray Gin London Dry;R$ 149,90;1 X 750 mL
Gordon's Gin London Dry;R$ 99,90;1 X 750 mL
Rock's Gin Seco;R$ 38,90;1 X 1 L
Rocks Gin Doce Sunset;R$ 38,90;1 X 1 L
Gin Ruvolo Taca Paraclub Haste Azul;R$ 37,90;1 X 1 Und
Gordon's Taça para Gin;R$ 79,90;1 X 1 Und
Corote Coquetel Alcoólico Limão;R$ 6,49;1 X 500 mL
Ypióca Guaraná;R$ 29,90;1 X 1 Und
Velho Barreiro Cachaça Adoçada;R$ 21,90;1 X 910.0 mL
Caninha 29 Cachaça Pet;R$ 6,99;1 X 500 mL
Cachaça 51 Aguardente Ouro;R$ 29,90;1 X 965 mL
Ypióca Cachaça Ouro Empalhada;R$ 54,90;1 X 965 mL
Sagatiba Envelhecida Cachaça 700ml;R$ 149,90;1 X 700 mL
Ypióca Aguardente Ouro;R$ 27,90;1 X 965 mL
Smirnoff Vodka Destilada;R$ 33,90;1 X 600 mL
Orloff Vodka;R$ 43,90;1 X 1 L
Ciroc Vodka 5X Destilada Importada;R$ 179,90;1 X 750 mL
Absolut Vodka Destilada Original;R$ 129,90;1 X 1 L
Minalba Água Mineral Natural sem Gás;R$ 3,29;1 X 1.5 L
Minalba Água Mineral sem Gás;R$ 1,99;1 X 510.0 mL
Coco Água de Coco Esterilizada Kero 1L;R$ 15,90;1 X 1 L
Pureza Vital Água Mineral Natural sem Gás;R$ 1,79;1 X 510 mL
Minalba Água Mineral Natural com Gás;R$ 2,19;1 X 310 mL
Minalba Agua Mineral Sem Gas;R$ 1,79;1 X 310 mL
Minalba Água Mineral Com Gás;R$ 2,49;1 X 510 mL
Nestlé Água Mineral Natural Pureza Vital sem Gás;R$ 2,99;1 X 1.5 L
Indaiá Água Mineral Natural com Gás;R$ 2,19;1 X 500 mL
Minalba Água Mineral sem Gás;R$ 10,90;1 X 5.0 L
Antarctica Água Tônica Zero Açúcar;R$ 3,39;1 X 350 mL
Minalba Água Mineral Natural;R$ 19,90;1 X 10 L
