;nome;preco;descricao
1354;Prudence Preservativo Lubrificante Com Aroma Morango;R$ 6,49;3 Und
1355;Prudence Camisinha Super Sensitive;R$ 15,90;1 X 6.0 Und
1356;Prudence Preservativo Cores Sabores Lubrificante Aroma Hortelã;R$ 10,90;1 X 6 Und
1357;Prudence Cores e Sabores Preservativo Lubrificante;R$ 6,49;1 X 3 Und
1358;Prudence Neon Preservativo Fosforescente Que Brilha no Escuro;R$ 14,90;1 X 3 Und
1359;Prudence Preservativo Caipirinha Contém 3 Unidades;R$ 6,49;1 X 3 Und
1360;Prudence Preservativo Cores e Sabores;R$ 10,90;1 X 8 Und
1361;Prudence Preservativo Com Aroma Chocolate;R$ 6,49;3 Und
1362;Jontex Preservativo Sensation T79956 3 Und;R$ 9,49;3 Und
1363;Prudence Preservativo Cabeção;R$ 8,49;1 X 3 Und
1364;Prudence Preservativo Extra Grande Proporcional;R$ 8,99;1 X 1 Und
1365;Prudence Preservativo Cores e Sabores Lubrificante Com Aroma;R$ 6,49;1 Und
1366;Prudence Preservativo Cores e Sabores Morango;R$ 10,90;1 X 6 Und
1367;Prudence Preservativo Mix Sabores;R$ 21,90;12 Und
1368;Prudence Preservativo Lubrificado Efeito Retardante;R$ 16,90;1 X 8 Und
1369;Prudence Preservativo Extra Grande Ultra Sensível;R$ 15,90;1 X 8 Und
1370;Prudence Preservativo Efeito Retardante;R$ 16,90;6 Und
1371;Ternura Fraldas Desc Geriatrica Md;R$ 19,90;8 Und
1372;Absorvente Ultra Plenitud Femme - 8 unidades;R$ 10,90;1 X 8 Und
1373;Plenitud Protetor Médio Femme;R$ 9,90;1 X 14 Und
1374;Plenitud Roupa Íntima Femme P/M;R$ 38,90;1 X 8.0 Und
1375;Roupa Íntima Plenitud Plus para Incontinência P/M-8 un;R$ 35,90;1 X 8 Und
1376;Roupa Íntima Plenitud Plus para Incontinência G/XG-8 un;R$ 35,90;1 X 8 Und
1377;Plenitud Roupa Íntima Descartável Femme G/XG;R$ 38,90;1 X 8 Und
1378;Bigfral Fralda Plus Regular M;R$ 26,90;1 X 8 Und
1379;Bigfral Fralda Descartável Plus Regular XG;R$ 26,90;1 X 7 Und
1380;Kisses Absorvente Pos Parto Max 10 Und;R$ 6,49;10 Und
1381;Kiarjo Bicarbonato Sódio;R$ 2,39;50 g
1382;Kodilar Colágeno Hidrolisado;R$ 39,90;1 X 100 g
1383;Coxão Mole Peça;R$ 39,90/kg;A partir de 1000g
1384;Coxão Duro Peça;R$ 39,90/kg;A partir de 1000g
1385;Maturatta Picanha Bovina;R$ 99,90/kg;A partir de 500g
1386;Picanha Montana;R$ 69,90/kg;A partir de 500g
1387;Filé Mignon Suíno Strogonoff na Bandeja;R$ 79,90/kg;A partir de 500g
1388;Angus Chorizo;R$ 19,90;300 g
1389;Alcatra Bovina;R$ 48,90/kg;A partir de 500g
1390;Acém Bovino;R$ 29,90/kg;A partir de 500g
1391;Contra Filé Maturatta;R$ 54,90/kg;A partir de 500g
1392;Picanha Prime Angus Minerva;R$ 89,90/kg;A partir de 500g
1393;Contra Filé Di Prima;R$ 59,90/kg;A partir de 500g
1394;Suina Costelinha Suína;R$ 24,90/kg;A partir de 500g
1395;Minerva Cupim Grill;R$ 44,90/kg;A partir de 500g
1396;Fígado Bovino;R$ 12,90/kg;A partir de 570g
1397;VPJ Prime Rib Steak Angus Corte Congelado;R$ 19,90;700 g
1398;Picanha Fatiada Di Prima;R$ 64,90/kg;A partir de 500g
1399;Contra Filé;R$ 45,90/kg;A partir de 600g
1400;Costela;R$ 24,90/kg;A partir de 500g
1401;Carne Panela Em Cubo;R$ 43,90/kg;A partir de 500g
1402;Cupim;R$ 54,90/kg;A partir de 1000g
1403;Maturatta Fralda Bov Cong;R$ 64,90/kg;A partir de 1000g
1404;Alcatra Baby Beef;R$ 51,90/kg;A partir de 500g
1405;Carne Para Strogonoff de Coxão Mole;R$ 15,71/u;Aprox. 350g/ud
1406;Rabada;R$ 27,90/kg;A partir de 500g
1407;Alcatra Bovina;R$ 45,90/kg;A partir de 500g
1408;Coxão Mole Bovino;R$ 43,90/kg;A partir de 500g
1409;Coxão Mole Bovino;R$ 40,90/kg;A partir de 500g
1410;Bovino Lagarto;R$ 42,90/kg;A partir de 500g
1411;Suina Barriga;R$ 24,90/kg;A partir de 500g
