;nome;preco;descricao
308;Indaiá Água Mineral Com Gás;R$ 1,99;1 X 330.0 mL
309;Kero Coco Água de Coco Esterilizada 330 mL;R$ 9,99;1 X 330 mL
310;Indaiá Água Mineral Natural sem Gás;R$ 2,99;1 X 1.5 L
311;Minalba Água Mineral Natural com Gás;R$ 3,39;1 X 1.5 L
312;Tônica Antarctica Água Zero Açúcar;R$ 2,49;1 X 269.0 mL
313;Antarctica Água Tônica;R$ 3,39;1 X 350 mL
314;Antarctica Água Tônica Sabor Gengibre;R$ 2,49;1 X 269 mL
315;Sococo Água de Coco Integral;R$ 2,99;1 X 200 mL
316;Voss Água Mineral sem Gás;R$ 24,90;1 X 500 mL
317;marIza agua mineral com gas;R$ 1,59;1 X 500 mL
318;Antarctica Água Tônica;R$ 2,49;1 X 269 mL
319;Mais Coco Água de Coco Esterilizada;R$ 10,90;1 X 1 L
320;Perrier Agua Mineral Com Gas330Ml;R$ 13,90;1 X 330 mL
321;Prat's Suco Limonada Adoçada;R$ 5,99;1 X 300 mL
322;Indaiá Água Mineral sem Gás;R$ 10,90;1 X 5 L
323;Voss Água Mineral Natural sem Gás;R$ 46,90;1 X 800.0 mL
324;Iza Mar Água Mineral Sem Gás;R$ 2,29;1 X 1500 mL
325;St. Pierre Água Tônica Sugar Free;R$ 6,49;1 X 200 mL
326;Pierre St.Agua Tonica;R$ 6,49;1 X 200 mL
327;Indaiá Água Mineral;R$ 1,59;1 X 500.0 mL
328;Iza Mar Agua Mineral;R$ 1,29;1 X 500 mL
329;Coco Do Vale Agua De Coco;R$ 8,49;1 X 1 L
330;Porto Real Água Mineral com Gás;R$ 2,49;1 X 500 mL
331;Porto Real Água Mineral sem Gás;R$ 1,99;1 X 500 mL
332;Água Mineral Sem Gás Prata Vidro 300 Ml;R$ 5,99;1 X 300 mL
333;Prata Água Tônica Zero;R$ 5,49;1 X 269.0 mL
334;Água Mineral Com Gás Prata Vidro 300 Ml;R$ 6,49;1 X 300 mL
335;Prata Água Mineral Natural sem Gás;R$ 3,39;1 X 510 mL
336;Tônica Prata;R$ 5,49;1 X 269 mL
337;Prata Água Mineral com Gás;R$ 3,99;1 X 510 mL
338;Porto Real Água Mineral Com Gás;R$ 2,29;1 X 330 mL
339;Porto Real Água Mineral Sem Gás;R$ 1,89;1 X 330 mL
340;Coca-Cola Refrigerante Coca Cola sem Açúcar;R$ 2,59;1 X 200 mL
341;Coca-Cola Refrigerante sem Açúcar;R$ 11,90;1 X 2.0 L
342;Coca-Cola Sem Açúcar 350Ml;R$ 3,79;1 X 350.0 mL
343;Coca-Cola Refrigerante sem Açúcar;R$ 10,90;1 X 1.5 L
344;Coca-Cola Refrigerante sem Açúcar;R$ 5,99;1 X 600 mL
345;Coca-Cola Refrigerante Original Pet;R$ 2,59;1 X 200 mL
346;Coca-Cola Refrigerante Sabor Original;R$ 3,79;1 X 350 mL
347;Antarctica Refrigerante Guaraná sem Açúcar;R$ 3,19;1 X 350 mL
348;Guaraná Antarctica Refrigerante;R$ 1,89;1 X 200 mL
349;Coca-Cola Refrigerante Original;R$ 5,99;1 X 600.0 mL
350;Coca-Cola Refrigerante Original;R$ 8,49;1 X 1.5 L
351;Coca-Cola Refrigerante Sabor Original;R$ 2,89;1 X 220 mL
352;Refrigerante Pepsi Black Sem Açúcares;R$ 1,79;1 x 200 mL
353;Refrigerante Pepsi Black Sem Açúcar Lata 350Ml – 12 Unidades;R$ 2,79;1 X 350 mL
354;Pepsi Refrigerante de Cola;R$ 1,79;1 X 200 mL
355;Antarctica Guaraná Refrigerante sem Açúcar;R$ 4,49;1 X 600 mL
356;H2Oh! Refrigerante Citrus Zero Açúcar;R$ 4,49;1 X 500 mL
357;Soda Antarctica Refrigerante Limonada Zero;R$ 2,79;1 X 350 mL
358;H2Oh! Refrigerante Limão;R$ 7,49;1 X 1.5 L
359;Mineiro Refrigerante Guaraná;R$ 1,89;1 X 250 mL
360;Sprite Refrigerante Lemon Fresh;R$ 4,99;1 X 510.0 mL
361;H2Oh! Refrigerante Limoneto;R$ 4,49;1 X 500 mL
362;Pepsi Refrigerante de Cola Light;R$ 7,49;1 X 2 L
363;Pepsi Refrigerante;R$ 7,49;1 X 2 L
364;Coca-Cola Refrigerante Café Expresso;R$ 3,29;1 X 220 mL
365;Sukita Refrigerante de Laranja e Limão;R$ 6,49;1 X 2 L
366;Guaraná Antarctica Refrigerante Original do Brasil;R$ 3,49;1 X 350 mL
367;Guaraná Antarctica Refrigerante sem Açúcar Sabor Guaraná;R$ 5,49;1 X 1.5 L
368;Schweppes Refrigerante Citrus Original;R$ 10,90;1 X 1.5 L
369;Mineiro Refrigerante de Guaraná Zero Açúcar;R$ 6,99;1 X 2 L
370;Guaraná Antarctica Refrigerante Original;R$ 4,49;1 X 600 mL
371;Pepsi Refrigerante Black sem Açúcares;R$ 5,49;1 X 1.5 L
372;Schweppes Refrigerante Citrus;R$ 4,49;1 X 350 mL
373;Pepsi Refrigerante;R$ 2,89;1 X 350 mL
374;Refrigerante Pepsi Lata 269Ml - 15 Unidades;R$ 2,29;15 X 269 mL
375;Coca-Cola Refrigerante Original;R$ 10,90;1 X 2 L
376;Fanta Refrigerante Laranja;R$ 8,99;1 X 2 L
377;Antarctica Refrigerante Soda Limonada Zero;R$ 6,99;1 X 2 L
378;Refrigerante Sukita Uva Garrafa 2L- 6 Unidades;R$ 6,49;1 X 2 L
379;Mineiro Refrigerante Guarana;R$ 2,39;1 X 269 mL
380;Guaraná Antarctica Refrigerante Sabor Original;R$ 7,99;1 X 2 L
381;Soda Antarctica Refrigerante Limonada;R$ 2,89;1 X 350 mL
382;Refrigerante Sukita Laranja Garrafa 200Ml;R$ 1,79;1 X 200 mL
383;Pepsi Refrigerante Twist;R$ 7,49;1 X 2 L
384;Pepsi Refrigerante de Cola;R$ 4,49;1 X 600 mL
385;Mineiro Refrigerante Guaraná;R$ 2,59;1 X 350 mL
386;Goianinho Refrigerante Lt 350Ml;R$ 2,79;1 X 350 mL
387;Soda Refrigerante Limonada Antarctica 2 L;R$ 6,99;1 X 2 L
388;Antarctica Refrigerante Guaraná;R$ 5,49;1 X 1.5 L
389;Soda Antarctica Refrigerante Limonada;R$ 4,49;1 X 600 mL
390;Mineiro Refrigerante Guaraná;R$ 6,99;1 X 2 L
391;Goianinho Refrigerante Guarana;R$ 2,79;1 X 500 mL
392;Refrigerante Sukita Laranja Lata 350Ml;R$ 2,89;1 X 350 mL
393;Refrigerante Guaraná Baré Garrafa 2L;R$ 5,49;1 X 2 L
394;Mineiro Refrigerante Guaraná;R$ 3,99;1 X 600 mL
395;Refrigerante Sukita Laranja Garrafa 600Ml;R$ 4,49;1 X 600 mL
396;Guaraná Antarctica Refrigerante sem Açúcar;R$ 7,99;1 X 2.0 L
397;Petra Água Tônica Comum;R$ 3,39;1 X 350 mL
398;Pitchula Refrigerante Cola;R$ 1,59;1 X 250 mL
399;Pitchula Refrigerante Guaraná;R$ 1,59;1 X 250 mL
400;Yakult Suco de Maçã;R$ 3,49;1 X 200 mL
401;Aurora Suco de Uva Tinto Integral;R$ 25,90;1 X 1.5 L
402;Maguary Néctar de Uva;R$ 3,29;1 X 200 mL
403;Adoralle Néctar Pêssego;R$ 1,99;1 X 200 mL
404;Casa Madeira Suco de Uva Tinto Integral;R$ 29,90;1 X 1 L
405;Campo Largo Suco de Uva Integral;R$ 14,90;1 X 900 mL
406;Adoralle Suco de Caju;R$ 1,99;1 X 200 mL
407;Prat's Suco de Laranja Integral;R$ 17,90;1 X 900.0 mL
408;Natural One Suco Misto de Uva e Maçã;R$ 23,90;1 X 1.5 L
409;Adoralle Suco de Uva Integral;R$ 17,90;1 X 1.5 L
410;Prats Suco de Laranja Integral;R$ 25,90;1 X 1.7 L
411;Maguary Néctar de Laranja;R$ 3,29;1 X 200 mL
412;Aurora Suco Uva Tinto Integral;R$ 22,90;1 X 1.5 L
413;Campo Largo Suco de Maçã Integral;R$ 3,99;1 X 200 mL
414;Nutri Néctar Suco de Caju;R$ 1,89;1 X 200 mL
415;Maguary Suco Concentrado Caju;R$ 6,99;1 X 500 mL
416;Maguary Néctar de Uva;R$ 8,49;1 X 1 L
417;Maguary Suco de Maracujá;R$ 8,49;1 X 1 L
418;Juice Box Suco 100% Uva;R$ 2,99;1 X 200 mL
419;Prat's Suco Integral Sabor Laranja;R$ 43,90;1 X 3 L
420;Maguary Suco Sabor Morango sem Mistura de Fruta;R$ 8,49;1 X 1.0 L
421;Maguary Suco Concentrado Maracujá;R$ 14,90;1 X 500 mL
422;Mitto Suco Uva Tinto;R$ 12,90;1 X 300 mL
423;Del Valle Suco Frut Sabor Uva;R$ 8,49;1 X 1.5 L
424;Brasfrut Polpa De Goiaba;R$ 2,99;1 X 100 g
425;Nutri Néctar Suco de Uva;R$ 1,89;1 X 200.0 mL
426;Brasfrut Polpa de Maracujá;R$ 10,90;1 X 100 g
427;Maguary Suco Néctar de Caju;R$ 8,49;1 X 1.0 L
428;Nutri Néctar Suco de Goiaba;R$ 1,89;1 X 200.0 mL
429;Nutri Néctar Suco Sabor Maracujá;R$ 1,89;1 X 200 mL
430;Maguary Néctar de Maça;R$ 8,49;1 X 1 L
431;Maguary Suco De Maracujá;R$ 3,29;1 X 200 mL
432;Tampico Suco Pronto Frutas Cítricas;R$ 2,99;1 X 270 mL
433;Maguary Néctar de Uva Light;R$ 7,99;1 X 1 L
434;Aurora Suco de Uva Tinto Gaseificado;R$ 7,49;1 X 269 mL
435;Casa de Bento suco de uva;R$ 24,90;1 X 1 L
436;Prats Limonada Adoçada;R$ 12,90;1 X 900 mL
437;Campo Largo Água de Coco Integral;R$ 6,99;1 X 250 mL
438;Campo Largo Suco De Laranja;R$ 5,99;1 X 250 mL
439;Brasfrut Polpa De Abacaxi;R$ 5,49;1 X 100 g
440;Maguary Suco Concentrado Uva;R$ 9,99;1 X 500 mL
441;Prats Suco de Laranja;R$ 4,99;1 X 330 mL
442;Maguary Néctar de Tangerina;R$ 8,49;1 X 1.0 L
443;Nutri Néctar de Caju;R$ 6,49;1 X 1 L
444;Aurora Suco Gaseificado Integral Sabor Uva Branco;R$ 7,49;1 X 269 mL
445;Tampico Bebida Mista Frutas Cítricas;R$ 4,49;1 X 450 mL
446;Maguary Néctar de Goiaba;R$ 8,49;1 X 1 L
447;Brasfrut Polpa Tamarindo;R$ 2,99;1 X 100 mL
448;A Tal Da Castanha Bebida Mini De Baunilha;R$ 11,90;1 X 200 mL
449;Nutri Néctar Suco de Goiaba;R$ 6,49;1 X 1 L
450;Del Valle Bebida Adoçada Sabor Citrus Punch;R$ 8,49;1 X 1.5 L
451;Nutri Néctar Suco Sabor Manga;R$ 1,89;1 X 200 mL
452;Prats Suco de Uva;R$ 14,90;1 X 900 mL
453;Nutri Néctar Suco De Laranja;R$ 6,49;1 X 1 L
454;Casa Madeira Suco De Uva Integral Tinto;R$ 17,90;1 X 500 mL
455;Aurora Suco Tinto Gaseificado Sabor Uva;R$ 7,99;1 X 275 mL
456;Adoralle Néctar de Manga;R$ 1,99;1 X 200 mL
457;Maguary Suco Néctar de Abacaxi;R$ 8,49;1 X 1.0 L
458;La Fruit Suco Uva/Maçã Lght;R$ 2,59;1 X 200 mL
459;Tampico Suco Frutas Cítricas;R$ 10,90;1 X 2 L
460;Red Bull Energético Energy Drink Sugarfree;R$ 9,99;1 X 250 mL
461;Monster Energético Energy;R$ 11,90;1 X 473 mL
462;Isotônico Gatorade Tangerina Garrafa 500 Ml - 6 Unidades;R$ 6,99;500 mL
463;Monster Energético Mango Loco;R$ 11,90;1 X 473 mL
464;Extra Power Energético Melancia;R$ 5,99;1 X 270 mL
465;Extra Power Energético;R$ 5,99;1 X 270 mL
466;Isotônico Gatorade Limão Garrafa 500Ml - 6 Unidades;R$ 6,99;1 X 500 mL
467;Gatorade Isotônico Morango com Maracujá;R$ 6,99;1 X 500 mL
468;Gatorade Isotônico Frutas Cítricas;R$ 6,99;1 X 500 mL
469;Monster Energético Ultra Paradise Energy sem Açúcar;R$ 11,90;1 X 473 mL
470;Red Bull Bebida Energética;R$ 17,90;1 X 355 mL
471;Red Bull Energético Energy Drink;R$ 19,90;1 X 473 mL
472;Monster Energético Ultra Violet Zero Açúcar;R$ 11,90;1 X 473 mL
473;Gatorade Isotônico Maracujá;R$ 6,99;1 X 500 mL
474;Red Bull Energético The Açaí Edition;R$ 9,99;1 X 250 mL
475;Red Bull Energético;R$ 9,99;1 X 250 mL
476;Red Bull Energético Sugar Free;R$ 17,90;1 X 355 mL
477;Baly Energético Morango e Pêssego;R$ 8,99;1 X 473.0 mL
478;Baly Energético Tropical Drink;R$ 5,99;1 X 250 mL
479;Monster Energético Dragon Ice Tea Sabor Lemon;R$ 11,90;1 X 473.0 mL
480;Tnt Energético Maçã Verde;R$ 6,99;1 X 269 mL
481;Baly Energético Maçã Verde Gelado;R$ 5,99;1 X 250 mL
482;Baly Energético Tangerina;R$ 5,99;1 X 250 mL
483;Baly Energético Pitaya Dragon;R$ 8,99;1 X 473 mL
484;Tnt Energetico Energy Drink Zero Açúcar;R$ 6,99;1 X 269 mL
485;Baly Energético Cranberry;R$ 5,99;1 X 250 mL
486;Baly Energético Açaí Gelado;R$ 5,99;1 X 250 mL
487;Baly Energético sem Açúcar Sabor Melancia;R$ 8,99;1 X 473 mL
488;Baly Energético Zero Maçã Verde;R$ 8,99;1 X 473.0 mL
489;Isotônico Gatorade Laranja Garrafa 500Ml;R$ 6,99;1 X 500 mL
490;Baly Energético Melancia;R$ 8,99;1 X 473 mL
491;Baly Brasil Energy Drink Morango e Pêssego das Galáxias;R$ 5,99;1 X 250 mL
492;Tnt Energético Açaí Com Guaraná;R$ 6,99;1 X 269 mL
493;Baly Energético Drink Melancia;R$ 5,99;1 X 250 mL
494;Baly Energético Zero Tropical;R$ 8,99;1 X 473 mL
495;Baly Energético Coco e Açaí Energy Drink;R$ 5,99;1 X 250 mL
496;Baly Energético;R$ 8,99;1 X 473 mL
497;Tnt Energético;R$ 6,99;1 X 269 mL
498;Baly Energético Labellamafia;R$ 5,99;1 X 250 mL
499;Baly Sabor Coco e Açaí Energético;R$ 8,99;1 X 473 mL
500;Baly Energético Energy Drink Tropical;R$ 9,99;473 mL
501;Banana Maçã;R$ 1,95/u;1 Und
502;Baly Energético Energy Drink;R$ 5,99;1 X 250 mL
503;Vulcano Energético Lata;R$ 8,49;1 X 473 mL
504;Engov Energético Up Original;R$ 8,99;1 X 269 mL
505;Extra Power Bebida Energetica;R$ 7,99;1 X 473 mL
506;Extra Power Energético Pet;R$ 19,90;1 X 2 L
507;Extra Power Energético Tropical;R$ 5,99;1 X 270 mL
508;Vulcano Bebida Energetica Pet;R$ 6,99;1 X 500 mL
509;Jungle Plant Power Endurance Tangerina;R$ 7,99;1 X 500 mL
510;Energético Itts Sero Maçã Verde Lata;R$ 9,90;1 X 269 mL
511;Bebida Isoton Gatorade Berry;R$ 6,99;1 x 500 mL
512;Red Bull Energético Energy Drink Summer Edition Melancia;R$ 9,99;1 X 250 mL
513;Moving Bebida Proteica Sabor Limão;R$ 12,90;1 X 270 mL
514;Monster Energético Dragon Ice Tea Peach;R$ 11,90;1 X 473 mL
515;Baly Energy Drink Pitaya;R$ 5,99;1 X 250 g
516;Monster Energético Energy;R$ 11,90;1 X 473 mL
517;Jungle Isotônico Low Carb Uva;R$ 7,99;1 X 500 mL
518;Baly Bedida Energética Citrus;R$ 8,99;1 x 473 mL
519;Energético Itts Sero Morango Com Hortelã;R$ 9,90;1 X 269 mL
520;3 Corações Bebida Láctea Cappuccino Pronto Power Whey Cafeína;R$ 10,90;1 X 260 mL
521;Campo Largo Chá de Hibisco e Cranberry Zero Calorias;R$ 11,90;1 X 900 mL
522;Chá Ice Tea Leão Pêssego 300Ml;R$ 5,49;1 X 300 mL
523;Nescafé Café Dolce Gusto Espresso;R$ 21,99;1 X 60.0 g
524;3 Corações Cappuccino Balance Zero Lactose;R$ 23,90;1 X 180 g
525;Starbucks Café em Cápsula Nespresso Colombia;R$ 22,90;10 X 57 g
526;3 Corações Cappuccino Classic;R$ 28,90;1 X 400 g
527;A Tal da Castanha Bebida Vegetal Café com Leite;R$ 9,99;1 X 200 mL
528;3 Corações Bebida Láctea Cappuccino Balance;R$ 7,99;1 X 260 mL
529;3 Corações Cappuccino Pronto Classic;R$ 7,49;1 X 260 mL
530;Campo Largo Chá Verde com Gengibre e  Limão;R$ 11,90;1 X 900 mL
531;Nescafé Café com Leite;R$ 21,90;1 X 330 g
532;3 Corações Bebida Láctea Café com Leite Pingado;R$ 7,99;1 X 260 mL
533;3 Corações Cappuccino Solúvel Descafeinado;R$ 19,90;1 X 200 g
534;3 Corações Cappuccino Solúvel Sabor Baunilha;R$ 19,90;1 X 200 g
535;3 Corações Cápsula de Café Chocolatto;R$ 19,49;1 X 10.0 Und
536;3 Corações Café Espresso Supremo;R$ 19,49;1 X 10 Und
537;Leão Chá Vitamínico Laranja e Cenoura;R$ 15,90;1 X 20.0 g
538;Matte Leão Cha Fuze Ice Tea Limao;R$ 4,49;1 X 300 mL
539;Iguaçu Café Solúvel em Pó Tradicional;R$ 8,49;1 X 50 g
540;Amor & Chá Limão;R$ 5,49;1 X 1 L
541;Chá Verde Amor&Cha de Laranja e Gengibre;R$ 5,49;1 X 1 L
542;Campo Largo Chá Verde Com Capim Limão E Abacaxi;R$ 11,90;1 X 900 mL
543;Chá Mais Chá Sublime Inocência;R$ 7,49;1 X 10 Und
544;Yopro Energy Boost Café Expresso (15 g) de Proteínas (250 g);R$ 10,90;1 X 250 mL
545;Power Whey Bebida Láctea Cookies'n Cream;R$ 6,99;1 x 250 mL
546;Sublime Essência Chá 10 Sachês Chá Mais 12 G;R$ 7,49;12 g
547;3 Corações Bebida Láctea Power Whey Cappuccino Clássico;R$ 6,99;1 X 250 mL
548;Power Whey Bebida Láctea Doce de Leite;R$ 6,99;1 x 250 mL
549;Moving Bebida Proteica Mate e Limão;R$ 12,90;1 X 270 mL
550;3 Corações Chá Erva Doce;R$ 19,49;1 X 10 Und
551;3 Corações Bebida Láctea Power Whey Chocolate;R$ 6,99;1 X 250 mL
552;Reax Limpador Limpeza E Perfume Floral;R$ 7,99;500 mL
553;Espanador Penas;R$ 35,90;1 Und
554;Zupp Limpador Multiuso Limão;R$ 4,99;500 mL
555;Pano Copa 85X68Cm Copalimpa Xadrez;R$ 16,90;1 Und
556;Azulim Limpa Fornos e Micro-Ondas;R$ 17,99;1 X 500 mL
557;Ypê Lava Louças Clear;R$ 2,19;1 X 500 mL
558;Ypê Detergente Líquido Neutro;R$ 2,19;1 X 500 mL
559;Ypê Detergente Líquido Coco;R$ 2,19;1 X 500 mL
560;Bombril Detergente Líquido Limpol Cristal;R$ 2,99;1 X 500 mL
561;Limpol Lava Louça de Coco;R$ 2,99;1 X 500 mL
562;Limpol Lava Louças Líquido Neutro;R$ 2,99;1 X 500 mL
563;Veja Limpador Multiuso Gold Original;R$ 5,90;1 X 500.0 mL
564;Bombril Eco Esponja de Aço;R$ 3,19;1 X 60 g
565;Scott Pano Multiuso Reutilizável Duramax;R$ 14,90;1 X 58 Und
566;Zupp Água Sanitária Tripla Ação;R$ 6,39;1 X 2 L
567;Start Álcool Liquido 46%;R$ 9,99;1 X 1 L
568;Zupp Agua Sanitária;R$ 3,29;1 X 1 L
569;Ypê Detergente Lava Louças Controle de Odor Capim Limão;R$ 2,19;1 X 500 mL
570;Ypê Lava Louças Líquido Clear Care Toque Suave;R$ 2,19;1 X 500 mL
571;Scott Pano Multiuso Reutilizável Duramax;R$ 14,90;1 X 58 Und
572;Limpol Detergente para Louças Líquido Maçã;R$ 2,99;1 X 500 mL
573;Zupp Água Sanitária;R$ 12,99;1 X 5.0 L
574;Casa & Perfume Limpador Multiuso E Sensualidade;R$ 9,90;1 L
575;Zupp Óleo Eucalipto;R$ 9,99;1 X 120 mL
576;Qboa Água Sanitária Cloro Ativo;R$ 6,90;1 X 2 L
577;Bombril Sapólio Radium Limpeza Lavanda;R$ 11,90;1 X 300 g
578;Minuano Detergente Líquido Coco;R$ 2,79;1 X 500 mL
579;Cif Limpador Cremoso Limpeza Profunda Original;R$ 17,99;1 X 450 mL
580;Minuano Detergente Líquido Neutro;R$ 2,79;1 X 500 mL
581;Azulim Limpa Ceramica E Azulejos;R$ 9,99;1 L
582;Ypê Água Sanitária com Cloro Ativo;R$ 6,90;1 X 2 L
583;Pinho Sol Desinfetante Lavanda;R$ 5,99;1 X 500 mL
584;Ypê Limpador Multiuso Clássico;R$ 4,39;1 X 500 mL
585;Veja Limpador Perfumado Lavanda da França;R$ 19,90;1 X 2 L
586;Veja Limpador Multiuso Power Fusion Limão;R$ 10,29;1 X 500 mL
587;Ypê Detergente Líquido Limão;R$ 2,19;1 X 500 mL
588;Brilhante Água Sanitária;R$ 24,90;1 X 2 L
589;Qboa Água Sanitária;R$ 3,99;1 X 1 L
590;3M Esponja Multiuso Scotch-Brite Limpeza Extrema;R$ 8,49;1 X 4 Und
591;Zupp Limpa Aluminio Menta;R$ 4,95;500 mL
592;Casa & Perfume Limpador Perfumado Agradable;R$ 5,90;1 X 500 mL
593;Azulim Limpa Vidros Squeeze;R$ 4,99;1 X 500 mL
594;Cif Limpador Multiuso Cremoso;R$ 23,90;1 X 450 mL
595;Ypê Sabão em Barra Glicerinado Neutro Original;R$ 11,90;1 X 900 g
596;Minuano Detergente Líquido Lava Louças;R$ 2,79;1 X 500 mL
597;Veja Limpador Multiuso Gold Lavanda E Álcool 500Ml Com 10% De Desconto;R$ 5,90;1 X 500.0 mL
598;Pinho Sol Desinfetante Citrus Lavanda 500 mL;R$ 6,90;1 X 500 mL
599;Pato Limpador Sanitário Limpeza Profunda Gel Marine 750 mL;R$ 19,90;1 X 750 mL
600;Minuano Lava Louças Líquido Clear;R$ 2,79;1 X 500 mL
601;Limpol Detergente Líquido para Louças Limão;R$ 2,99;1 X 500 mL
602;Scott Guardanapos Dia a Dia;R$ 3,59;1 X 50 Und
603;Veja Limpador Limpeza Pesada;R$ 8,90;1 X 500 g
604;Reax Limpa Alumínio Tradicional;R$ 8,99;1 X 500 mL
605;Leve Brisa Anti Mofo Cartela Aromasil25 G;R$ 3,99;25 g
606;Veja Limpador para Limpeza Pesada Original;R$ 8,90;1 X 500 mL
607;Ypê Lava-Louças Líquido Clear;R$ 16,14;6 X 500 mL
608;Panos Duramax Antibacteriano Scott;R$ 14,90;48 Und
609;Veja Limpador Perfumado Flores do Mediterrâneo;R$ 19,90;1 X 2 L
610;CaSaKm  Limpa Piso Casa e Perfume Agradable;R$ 9,90;1 X 1 L
611;Zupp Limpa Piso Flor E Encanto;R$ 6,99;500 mL
612;Saco Para Lixo Bomlixo Preto 200 L;R$ 32,90;200 L
613;Bomlixo Saco para Lixo Preto;R$ 7,49;1 X 20.0 Und
614;Saco Lixo Rolo Econ Bomlixo Preto 15 L;R$ 34,90;15 L
615;Saco Lixo Rolo Econ Bomlixo Preto 30 L;R$ 34,90;30 L
616;Scott Guardanapo Grand Hotel;R$ 6,49;1 X 50 Und
617;Kitchen Guardanapo de Papel Folha Simples;R$ 3,29;1 X 50 Und
618;Termopot Copo Descartável Cristal;R$ 14,90;1 X 50 Und
619;Snob Guardanapos de Papel Folha Simples;R$ 2,99;1 X 50 Und
620;Kitchen Toalhas de Papel Folha Dupla Máxima Absorção;R$ 7,99;1 X 2 Und
621;Santepel Guardanapo Pequeno;R$ 2,99;1 X 50 Und
622;Bomlixo Saco para Lixo Preto;R$ 7,49;1 X 10.0 Und
623;Dover Roll Saco de Lixo Banheiro e Pia Odor Defense Lilás;R$ 14,90;1 X 50 Und
624;Dover Roll Saco de Lixo para Banheiro;R$ 14,90;1 X 50.0 Und
625;Snob Papel Toalha;R$ 8,49;1 X 2 Und
626;Wyda Rolo de Papel Filme de Pvc;R$ 6,99;1 X 1 Und
627;Snob Guardanapo Folha Dupla;R$ 6,99;1 X 50 Und
628;Wyda Folha de Papel Alumínio;R$ 6,99;1 X 1 Und
629;Kitchen Papel Toalha com Folha Dupla Jumbo;R$ 14,90;1 X 2 Und
630;Termopot Copos Descartáveis Cristal;R$ 17,90;1 X 50 Und
631;Kitchen Guardanapo de Papel Ultramacio Super Absorvente;R$ 5,90;1 X 50 Und
632;Gina Palitos de Dente;R$ 2,49;1 X 200 Und
633;Snob Guardanapo Folha Simples;R$ 5,99;1 X 50.0 Und
634;Snob Guardanapo de Papel Folha Dupla;R$ 12,90;1 X 50 Und
635;Dover Roll Saco Para Lixo Super Forte Reciclado;R$ 25,90;1 X 10 Und
636;Softys Lenço De Papel Folha Dupla;R$ 13,90;1 X 100 Und
637;Santepel Guardanapo de Papel Folha Simples;R$ 5,99;1 X 50.0 Und
638;Saco Lixo Bomlixo Rolo Preto;R$ 39,90;20 Und
639;Boreda Papel Alumínio;R$ 12,90;1 X 1 Und
640;Bombril Esponja De Aço Mini;R$ 4,99;1 X 60 g
641;Dover Roll Saco para Lixo Banheiro & Pia Odor Defense;R$ 14,90;1 X 50 Und
642;Dover Roll Saco de Lixo Super Forte;R$ 29,90;1 X 20 Und
643;Dover Roll Sco Reforçado para Lixo;R$ 18,90;1 X 20 Und
644;Dicasa Saco Para Lixo Pequeno 15 L;R$ 5,99;15 L
645;Wyda Filme de Pvc;R$ 9,99;1 X 30 m
646;Bomlixo  Saco para Lixo;R$ 18,90;10 Und
647;Utilix Sacos para Lixo;R$ 8,49;1 X 30 Und
648;Dicasa Saco Para Lixo Grande;R$ 6,99;50 L
649;Stylus Papel Toalha;R$ 6,99;1 X 20 cm
650;Wyda Saco Plástico Ensaca Tudo;R$ 12,90;1 X 100 Und
651;Bomlixo Saco para Lixo;R$ 15,90;1 X 20.0 Und
652;Utilix Saco para Lixo Rolo Dover-Roll;R$ 11,90;1 X 15 Und
653;Dover Roll Saco para Lixo Odor Defense Pure Fresh;R$ 17,90;1 X 20 Und
654;Dover Roll Saco para Lixo Super Forte Reciclado Preto;R$ 25,90;1 X 20 Und
655;Elite Guardanapo de Folha Dupla Lips Premium;R$ 11,90;1 X 50 Und
656;Copobras Copo Descartável Branco;R$ 17,90;1 X 100 Und
657;Saco Para Lixo Bomlixo Azul 100 L;R$ 8,99;100 L
658;Bomlixo Saco para Lixo Azul 50 Litros;R$ 8,99;1 X 10 Und
659;Wyda Saco Plástico;R$ 15,90;1 X 3 Kg
660;Dicasa Saco Para Lixo Gigante;R$ 6,99;100 L
661;Maxim Guardanapo 31 cm x 30 cm;R$ 3,99;1 Und
662;Bomlixo Saco para Lixo Super Reforçado;R$ 27,90;1 X 15 Und
663;Utilix Saco Para Lixo Rolo Preto;R$ 11,90;1 X 50 Und
664;Dover Roll Saco para Lixo Reforçado Preto;R$ 24,90;1 X 10 Und
665;Softys Lenço De Papel Folha Dupla;R$ 1,89;1 X 15 Und
666;Nadir Copo Americano;R$ 1,99;1 Und
667;Saco Lixo Rolo 100 L Bomlixo Azul 10 Und;R$ 18,90;10 Und
668;Dicasa Saco para Lixo;R$ 5,99;1 X 10 Und
669;Wyda Rolo de Papel Alumínio;R$ 6,99;1 X 1 Und
670;Bomlixo Sacos para Lixo em Rolo;R$ 15,90;1 X 40.0 Und
671;Fiat Lux Palito de Dente;R$ 1,99;1 X 200 Und
672;Omo Lava Roupas Líquido Lavagem Perfeita;R$ 64,90;1 X 3.0 L
673;Omo Sabão Líquido Lavagem Perfeita Refil;R$ 24,90;1 X 900 mL
674;Omo Sabão Líquido Puro Cuidado;R$ 64,90;1 X 3 L
675;Omo Lava Roupas em Pó Lavagem Perfeita;R$ 15,99;1 X 800 g
676;Brilhante Lava Roupas Líquido Limpeza Total;R$ 49,90;1 X 3 L
